Date,Open,High,Low,Close,Volume,Regime,Return,Price_MA20,Price_MA50,Price_MA200,Golden_Cross,Price_52w_position,RSI14,RSI7,MACD,MACD_signal,MACD_hist,Return_lag1,Return_lag2,Return_lag3,Return_lag5,Return_lag10,Cum_return_5d,Cum_return_10d,Cum_return_20d,Vol_10d,Vol_20d,Vol_60d,BB_width,BB_position,ATR14_pct,Vol_ratio,Rel_Volume,OBV_MA20,Corr_SP500_BTC,Corr_SP500_Gold,Corr_BTC_Gold,LSTM_pred,LSTM_proba
2014-12-31,1199.199951171875,1199.199951171875,1182.699951171875,1183.9000244140625,92,1.0,-0.0135810093492315,0.9871386241753308,0.990572062827612,0.9400403903727022,0,0.1757498274924885,32.63890197083124,43.52052519180575,-3.5703251445561364,-2.055011171774888,-1.5153139727812488,0.015655412341901,-0.0113779779977283,0.0185769482983595,-0.0015257496247452,-0.0110171697280982,0.0050938109140332,-0.0083759107090292,-0.0127584451140616,0.0110500782414553,0.0117409989615716,0.0115290191813665,0.0571171617448957,0.2748246685976376,0.014389516691984,0.9584577896543648,0.4200913242009132,-480434.5,-0.0606183031109766,-0.1710628412658539,-0.1188717980279263,,
2015-01-02,1184.0,1194.5,1169.5,1186.0,138,1.0,0.0017737778044026,0.9898180654660074,0.9934096623671012,0.9422891619353858,0,0.1846217160397432,34.71463325942942,54.01276995421974,-3.722499050490569,-2.388508747518024,-1.3339903029725453,-0.0135810093492315,0.015655412341901,-0.0113779779977283,-0.0037354820637272,0.0003350568773619,0.0106518960374948,-0.0069497182356048,-0.0186181216383939,0.0110756324546272,0.0115928375191935,0.0115177563975179,0.0575188779706994,0.3229809952276998,0.0149663025946308,0.9616137095080456,0.6768023540951447,-480504.7,-0.0441452000373817,-0.1645260202230479,-0.1228830093929791,,
2015-01-05,1180.300048828125,1206.9000244140625,1180.0999755859375,1203.9000244140625,470,1.0,0.0150927693204574,1.0049081228367145,1.009094364699627,0.9569922100956229,0,0.2602449864521006,43.65803563561645,63.74205769558327,-2.371379803585569,-2.385082958731533,0.013703155145964,0.0017737778044026,-0.0135810093492315,0.015655412341901,0.0185769482983595,0.0003348424410953,0.0071948257630953,0.007700739615134,-0.0029813462409415,0.0121512642857818,0.0121304464075052,0.0116675371923781,0.0572481622653225,0.5857341553422624,0.0156456061909215,1.0414592287496358,2.243436754176611,-480533.5,-0.1397820866027953,-0.1945241833428982,-0.0832288484027275,,
2015-01-06,1203.5,1220.0,1203.5,1219.300048828125,97,1.0,0.0127917801327046,1.0165238687339504,1.022160121351808,0.969683612202586,0,0.3253063619945066,54.22194470804505,71.6856091256722,-0.057294345730952,-1.9195252361314168,1.8622308904004647,0.0150927693204574,0.0017737778044026,-0.0135810093492315,-0.0113779779977283,0.0010044976071275,0.0318186504272617,0.0195668734311864,0.0245358153442629,0.0127277120721081,0.0119629662592887,0.0116000533937648,0.0589301324175917,0.7803976175865118,0.0149676323680724,1.0972115075737017,0.5205258921384491,-480529.45,-0.1241266263460051,-0.1660537450129955,-0.083575181778538,,
2015-01-07,1219.199951171875,1219.199951171875,1210.5999755859375,1210.5999755859375,29,1.0,-0.0071353013153317,1.008602174989846,1.0152173430039872,0.9631499116792452,0,0.2885506584165615,56.020161375493736,58.27021976586285,1.062365561709612,-1.3231470765632112,2.385512638272824,0.0127917801327046,0.0150927693204574,0.0017737778044026,0.015655412341901,-0.0135463441019033,0.0086652431571156,0.0261931217199489,0.0133088014262219,0.0119974418834012,0.0120900713742252,0.0116306403840447,0.0593270278077372,0.6449958864907798,0.0138597459012373,1.0315375153254422,0.1623285754268122,-480536.0,-0.1109200612800712,-0.185737328820438,-0.0931557914900697,,
2015-01-08,1207.0,1215.699951171875,1206.300048828125,1208.4000244140625,92,1.0,-0.0018172403900885,1.0077390279404166,1.0137243962986884,0.9617937149410768,0,0.2792563972180134,55.01778054644012,66.46120917378994,1.7519905744927655,-0.7081195463520158,2.460110120844781,-0.0071353013153317,0.0127917801327046,0.0150927693204574,-0.0135810093492315,-0.0015257496247452,0.0206943149715079,0.0258935388130012,-0.0187575928428228,0.0120090725472267,0.009803740431489,0.0115974687111241,0.0545756715947705,0.6418036226448939,0.0135184916792303,1.0354908339358386,0.5490898239331542,-480562.85,-0.1123771023560475,-0.1704635830614963,-0.100583888466714,,
2015-01-09,1211.0999755859375,1220.199951171875,1210.300048828125,1216.0,43,1.0,0.0062892878454074,1.014622749744467,1.0203259706401608,0.9681794632605474,0,0.3113644544791614,57.21056894442791,61.25360385895479,2.878595225841991,0.0092234080867855,2.869371817755205,-0.0018172403900885,-0.0071353013153317,0.0127917801327046,0.0017737778044026,-0.0037354820637272,0.025295109612142,0.0362164465274823,-0.0104972122693319,0.0118363599928383,0.0099283149379959,0.0116182161982048,0.0512243972598058,0.7854645545227531,0.0130932958502518,1.0187760143994546,0.2784974093264248,-480572.25,-0.127319875323122,-0.1792947936604573,-0.0974943606039236,,
2015-01-12,1224.199951171875,1234.4000244140625,1219.0999755859375,1232.699951171875,100,1.0,0.0137335124768709,1.028231064162922,1.0341928456635536,0.9817182777337204,0,0.3819177059234283,61.27448230467451,84.56086659577595,5.06064802079959,1.0195083306293466,4.041139690170244,0.0062892878454074,-0.0018172403900885,-0.0071353013153317,0.0150927693204574,0.0185769482983595,0.0239221913562379,0.0312891331180129,0.0062035554137556,0.011240739445407,0.01039718803665,0.0117036223750059,0.0537730760608267,1.0250037050323793,0.0136286319594008,0.9604496014338768,0.6839945280437757,-480563.45,-0.1408867910094588,-0.1865085919389102,-0.0858165751820751,,
2015-01-13,1239.199951171875,1239.300048828125,1230.300048828125,1234.300048828125,20,1.0,0.0012980430920994,1.029037864700222,1.0349066574906467,0.983225544066973,0,0.3886777312142156,68.37148781104908,84.45077142757636,6.840205459275921,2.1836477563586616,4.65655770291726,0.0137335124768709,0.0062892878454074,-0.0018172403900885,0.0127917801327046,-0.0113779779977283,0.012302140079808,0.0445122280017762,0.0100655064059944,0.0100756999806207,0.0103763846930233,0.0116990911969785,0.0574975050486536,1.0050282560199872,0.0126676854333181,0.8612378355699074,0.1459321415541773,-480543.5,-0.090492807323824,-0.1878141720978902,-0.0845816600365766,,
2015-01-14,1229.5999755859375,1243.800048828125,1225.5999755859375,1234.4000244140625,21,1.0,8.09977979279175e-05,1.027955680150186,1.0338930191684603,0.9834971258649958,0,0.3891001038655091,69.23075005442885,79.15867258578757,8.164469818678072,3.379812168822544,4.784657649855528,0.0012980430920994,0.0137335124768709,0.0062892878454074,-0.0071353013153317,0.015655412341901,0.019659713619774,0.0284953129758045,0.0225315393823399,0.0093196656342905,0.0099423312686942,0.0116968204967506,0.0628848797419105,0.9445532895176127,0.0134131195209862,0.7967691422536237,0.1564245810055866,-480518.65,-0.0164577323960145,-0.1863092193090802,-0.0694452524491796,,
