Date,Open,High,Low,Close,Volume,Regime,Return,MA_200,RSI_21,MACD,Volatility_60,Volume_ratio,HMM_RAW_2,HMM_RAW_3,HMM_ENG_2,HMM_ENG_3
2000-10-16,1374.1700439453125,1379.47998046875,1365.06005859375,1374.6199951171875,1005400000,0.0,0.0003274348570305,1444.7832482910155,34.52991615829983,-6.478261068409978,0.0101109861284777,1.0129750272538038,0,0,0,0
2000-10-17,1374.6199951171875,1380.989990234375,1342.3399658203125,1349.969970703125,1161500000,0.0,-0.0179322463674487,1444.2569982910156,34.14185170897433,-6.651207390613923,0.0102676105685723,1.1630631568828504,0,0,0,0
2000-10-18,1349.969970703125,1356.6500244140625,1305.7900390625,1342.1300048828125,1441700000,0.0,-0.0058075112709574,1443.9705480957032,29.73188505662128,-6.80592061505935,0.0102258052186481,1.4307604059362118,0,0,0,0
2000-10-19,1342.1300048828125,1389.9300537109375,1342.1300048828125,1388.760009765625,1297900000,0.0,0.0347432847139752,1443.903798217773,40.47779759448091,-5.356639840638774,0.0110945971629723,1.2818461587083367,0,0,0,0
2000-10-20,1388.760009765625,1408.469970703125,1382.18994140625,1396.9300537109375,1177400000,0.0,0.0058829775395758,1443.871198730469,42.20881052734919,-3.913949173083719,0.0111255660606954,1.1574274322294489,0,1,0,0
2000-10-23,1396.9300537109375,1406.9599609375,1387.75,1395.780029296875,1046800000,0.0,-0.0008232512508464,1443.6427490234375,42.10559273039705,-2.779388591048015,0.0108130686636323,1.024785556671581,0,1,0,0
2000-10-24,1395.780029296875,1415.6400146484375,1388.1300048828125,1398.1300048828125,1158600000,0.0,0.0016836288932442,1443.3453991699218,43.76448597156833,-1.7884325236027472,0.0107660352647273,1.125971595116708,0,1,0,0
2000-10-25,1398.1300048828125,1398.1300048828125,1362.2099609375,1364.9000244140625,1315600000,0.0,-0.023767446770113,1442.9770989990234,41.08253515585556,-1.9569879302724047,0.0111574185817692,1.2682046556105235,0,1,0,0
2000-10-26,1364.9000244140625,1372.719970703125,1337.81005859375,1364.43994140625,1303800000,0.0,-0.0003370818371917,1442.6380487060546,41.10370426562287,-1.9942435975210488,0.0111564380474633,1.2478322288706918,0,1,0,0
2000-10-27,1364.43994140625,1384.5699462890625,1364.1300048828125,1379.5799560546875,1086300000,0.0,0.0110961385613159,1442.2875482177735,38.16781986411196,-1.4823959897588672,0.0111812369381343,1.036417238319674,0,1,0,0
2000-10-30,1379.5799560546875,1406.3599853515625,1376.8599853515625,1398.6600341796875,1186500000,0.0,0.013830353247205,1441.9550982666017,44.26359557837287,-0.476089723561298,0.0112945332054408,1.124184220300313,0,1,0,0
2000-10-31,1398.6600341796875,1432.219970703125,1398.6600341796875,1429.4000244140625,1366400000,0.0,0.0219781715950753,1441.8263983154295,49.05236957569611,1.1976967044641746,0.011569094942573,1.2792474310195032,0,1,0,0
2000-11-01,1429.4000244140625,1429.5999755859375,1410.449951171875,1421.219970703125,1206800000,0.0,-0.0057227183232284,1441.652998046875,49.26974939505867,2.174920956704668,0.0115822353248282,1.121678092886992,0,1,0,0
2000-11-02,1421.219970703125,1433.4000244140625,1421.219970703125,1428.3199462890625,1167700000,0.0,0.0049956908376576,1441.566748046875,49.16205860270817,3.0751356690479845,0.01157698196533,1.07938274503569,0,1,0,0
2000-11-03,1428.3199462890625,1433.2099609375,1420.9200439453125,1426.68994140625,997700000,0.0,-0.0011412043128343,1441.4933978271483,48.65944212643651,3.643313754672264,0.0115282695443879,0.9195103563574968,0,1,0,0
2000-11-06,1428.760009765625,1438.4599609375,1427.719970703125,1432.18994140625,930900000,0.0,0.0038550772949157,1441.6466973876952,53.45339997834062,4.166398106349803,0.0114906855216491,0.8540837110299649,0,1,0,0
2000-11-07,1432.18994140625,1436.219970703125,1423.260009765625,1431.8699951171875,880900000,0.0,-0.0002233965480502,1441.755897216797,54.53136637799517,4.473247241791626,0.011347308408182,0.8060310041486486,0,1,0,0
2000-11-08,1431.8699951171875,1437.280029296875,1408.780029296875,1409.280029296875,909300000,0.0,-0.0157765480786289,1441.7818475341796,53.304239988925104,3.968686914540605,0.0115034094268166,0.8302896380437562,0,1,0,0
2000-11-09,1409.280029296875,1409.280029296875,1369.6800537109375,1400.1400146484375,1111000000,0.0,-0.006485591549181,1441.789747314453,55.49374802397416,3.2866718301472098,0.0115232135150268,1.009071654078248,0,1,0,0
2000-11-10,1400.1400146484375,1400.1400146484375,1365.969970703125,1365.97998046875,962500000,0.0,-0.0243975844003464,1441.8188470458983,55.60544050010623,1.765380237475572,0.0118091625596824,0.8756925932328296,0,1,0,0
2000-11-13,1365.97998046875,1365.97998046875,1328.6199951171875,1351.260009765625,1129300000,0.0,-0.0107761247701988,1441.602847290039,46.09350575174396,0.2465797201214439,0.011869198889414,1.020732816203015,0,1,0,0
2000-11-14,1351.260009765625,1390.06005859375,1351.260009765625,1382.949951171875,1118800000,0.0,0.0234521418359348,1441.471196899414,51.283624629852085,0.1150906734832677,0.0122728698863197,1.0061440616996171,0,1,0,0
2000-11-15,1382.949951171875,1395.9599609375,1374.75,1389.81005859375,1066800000,0.0,0.0049604885672558,1441.3746472167968,56.49538037291369,0.2537398218456843,0.0122991866792214,0.9581444976746945,0,1,0,0
2000-11-16,1389.81005859375,1394.760009765625,1370.3900146484375,1372.3199462890625,956300000,0.0,-0.0125845342653402,1441.1113970947265,54.771901281866256,-0.1264095652812891,0.0123567836974986,0.8593498667347221,0,1,0,0
2000-11-17,1372.3199462890625,1384.8499755859375,1355.550048828125,1367.719970703125,1070400000,0.0,-0.0033519702153833,1440.8281469726562,46.16478006006049,-0.4924195758395484,0.0123526460771801,0.959994834108516,0,1,0,0
