Date,Open,High,Low,Close,Volume,Regime,Return,Price_MA20,Price_MA50,Price_MA200,Golden_Cross,Price_52w_position,RSI14,RSI7,MACD,MACD_signal,MACD_hist,Return_lag1,Return_lag2,Return_lag3,Return_lag5,Return_lag10,Cum_return_5d,Cum_return_10d,Cum_return_20d,Vol_10d,Vol_20d,Vol_60d,BB_width,BB_position,ATR14_pct,Vol_ratio,Rel_Volume,OBV_MA20,Corr_SP500_BTC,Corr_SP500_Gold,Corr_BTC_Gold
2014-12-31,1199.199951171875,1199.199951171875,1182.699951171875,1183.9000244140625,92,1.0,-0.0135810093492315,0.9871386241753307,0.9905720628276119,0.9400403903727022,0,0.17574982749248858,32.63890197083124,43.520525191805746,-3.5703251445561364,-2.0550111717748876,-1.5153139727812488,0.015655412341901,-0.0113779779977283,0.0185769482983595,-0.0015257496247452,-0.0110171697280982,0.00509381091403327,-0.00837591070902921,-0.012758445114061656,0.011050078241455366,0.011740998961571679,0.01152901918136656,0.05711716174489579,0.27482466859763766,0.014389516691984008,0.9584577896543647,0.4200913242009132,-480434.5,-0.06061830311097666,-0.17106284126585397,-0.11887179802792636
2015-01-02,1184.0,1194.5,1169.5,1186.0,138,1.0,0.0017737778044026,0.9898180654660074,0.9934096623671013,0.9422891619353858,0,0.18462171603974326,34.71463325942942,54.01276995421974,-3.722499050490569,-2.388508747518024,-1.3339903029725453,-0.0135810093492315,0.015655412341901,-0.0113779779977283,-0.0037354820637272,0.0003350568773619,0.010651896037494835,-0.006949718235604863,-0.018618121638393936,0.011075632454627268,0.011592837519193508,0.01151775639751796,0.05751887797069943,0.3229809952276998,0.01496630259463081,0.9616137095080455,0.6768023540951447,-480504.7,-0.044145200037381725,-0.16452602022304796,-0.12288300939297915
2015-01-05,1180.300048828125,1206.9000244140625,1180.0999755859375,1203.9000244140625,470,1.0,0.0150927693204574,1.0049081228367143,1.0090943646996273,0.9569922100956227,0,0.26024498645210065,43.65803563561645,63.74205769558327,-2.371379803585569,-2.385082958731533,0.013703155145964097,0.0017737778044026,-0.0135810093492315,0.015655412341901,0.0185769482983595,0.0003348424410953,0.0071948257630953805,0.007700739615134067,-0.002981346240941596,0.012151264285781832,0.012130446407505257,0.011667537192378143,0.057248162265322505,0.5857341553422624,0.01564560619092151,1.0414592287496358,2.243436754176611,-480533.5,-0.13978208660279537,-0.19452418334289825,-0.08322884840272755
2015-01-06,1203.5,1220.0,1203.5,1219.300048828125,97,1.0,0.0127917801327046,1.0165238687339504,1.0221601213518081,0.9696836122025861,0,0.3253063619945066,54.22194470804505,71.6856091256722,-0.057294345730952045,-1.9195252361314168,1.8622308904004647,0.0150927693204574,0.0017737778044026,-0.0135810093492315,-0.0113779779977283,0.0010044976071275,0.03181865042726173,0.01956687343118646,0.024535815344262968,0.012727712072108167,0.011962966259288771,0.011600053393764853,0.05893013241759175,0.7803976175865118,0.014967632368072433,1.0972115075737015,0.5205258921384491,-480529.45,-0.12412662634600517,-0.16605374501299552,-0.08357518177853804
2015-01-07,1219.199951171875,1219.199951171875,1210.5999755859375,1210.5999755859375,29,1.0,-0.0071353013153317,1.008602174989846,1.0152173430039872,0.9631499116792452,0,0.2885506584165615,56.020161375493736,58.27021976586285,1.062365561709612,-1.3231470765632112,2.3855126382728233,0.0127917801327046,0.0150927693204574,0.0017737778044026,0.015655412341901,-0.0135463441019033,0.008665243157115698,0.02619312171994892,0.013308801426221928,0.011997441883401226,0.012090071374225244,0.011630640384044709,0.059327027807737215,0.6449958864907798,0.013859745901237303,1.0315375153254422,0.1623285754268122,-480536.0,-0.11092006128007122,-0.18573732882043803,-0.09315579149006975
2015-01-08,1207.0,1215.699951171875,1206.300048828125,1208.4000244140625,92,1.0,-0.0018172403900885,1.0077390279404166,1.0137243962986884,0.9617937149410768,0,0.2792563972180134,55.017780546440115,66.46120917378994,1.7519905744927655,-0.7081195463520158,2.4601101208447815,-0.0071353013153317,0.0127917801327046,0.0150927693204574,-0.0135810093492315,-0.0015257496247452,0.020694314971507977,0.02589353881300127,-0.018757592842822857,0.012009072547226775,0.009803740431489088,0.011597468711124182,0.05457567159477052,0.6418036226448939,0.013518491679230317,1.0354908339358386,0.5490898239331542,-480562.85,-0.11237710235604757,-0.17046358306149637,-0.100583888466714
2015-01-09,1211.0999755859375,1220.199951171875,1210.300048828125,1216.0,43,1.0,0.0062892878454074,1.014622749744467,1.0203259706401608,0.9681794632605474,0,0.3113644544791614,57.21056894442791,61.25360385895479,2.878595225841991,0.009223408086785567,2.8693718177552054,-0.0018172403900885,-0.0071353013153317,0.0127917801327046,0.0017737778044026,-0.0037354820637272,0.025295109612142097,0.03621644652748235,-0.01049721226933198,0.011836359992838313,0.009928314937995942,0.01161821619820484,0.05122439725980582,0.7854645545227531,0.013093295850251851,1.0187760143994546,0.27849740932642486,-480572.25,-0.12731987532312203,-0.1792947936604573,-0.0974943606039236
2015-01-12,1224.199951171875,1234.4000244140625,1219.0999755859375,1232.699951171875,100,1.0,0.0137335124768709,1.028231064162922,1.0341928456635536,0.9817182777337203,0,0.38191770592342833,61.27448230467451,84.56086659577595,5.06064802079959,1.0195083306293466,4.041139690170244,0.0062892878454074,-0.0018172403900885,-0.0071353013153317,0.0150927693204574,0.0185769482983595,0.023922191356237965,0.03128913311801296,0.006203555413755613,0.011240739445407072,0.010397188036650018,0.011703622375005954,0.05377307606082675,1.0250037050323793,0.01362863195940083,0.9604496014338769,0.6839945280437757,-480563.45,-0.14088679100945886,-0.18650859193891026,-0.08581657518207517
2015-01-13,1239.199951171875,1239.300048828125,1230.300048828125,1234.300048828125,20,1.0,0.0012980430920994,1.029037864700222,1.0349066574906467,0.983225544066973,0,0.38867773121421567,68.37148781104908,84.45077142757636,6.840205459275921,2.1836477563586616,4.65655770291726,0.0137335124768709,0.0062892878454074,-0.0018172403900885,0.0127917801327046,-0.0113779779977283,0.01230214007980801,0.04451222800177623,0.010065506405994462,0.010075699980620767,0.010376384693023346,0.011699091196978555,0.057497505048653676,1.0050282560199872,0.012667685433318157,0.8612378355699074,0.1459321415541773,-480543.5,-0.09049280732382407,-0.18781417209789028,-0.08458166003657662
2015-01-14,1229.5999755859375,1243.800048828125,1225.5999755859375,1234.4000244140625,21,1.0,8.09977979279175e-05,1.027955680150186,1.0338930191684603,0.9834971258649958,0,0.38910010386550914,69.23075005442885,79.15867258578757,8.164469818678072,3.3798121688225438,4.784657649855528,0.0012980430920994,0.0137335124768709,0.0062892878454074,-0.0071353013153317,0.015655412341901,0.019659713619774033,0.028495312975804543,0.022531539382339982,0.009319665634290595,0.009942331268694295,0.011696820496750618,0.0628848797419105,0.9445532895176127,0.013413119520986203,0.7967691422536237,0.1564245810055866,-480518.65,-0.016457732396014522,-0.18630921930908026,-0.06944525244917961
