Date,Open,High,Low,Close,Volume,Regime,Return,Price_MA20,Price_MA50,Price_MA200,Golden_Cross,Price_52w_position,RSI14,RSI7,MACD,MACD_signal,MACD_hist,Return_lag1,Return_lag2,Return_lag3,Return_lag5,Return_lag10,Cum_return_5d,Cum_return_10d,Cum_return_20d,Vol_10d,Vol_20d,Vol_60d,BB_width,BB_position,ATR14_pct,Vol_ratio,Rel_Volume,OBV_MA20,Corr_SP500_BTC,Corr_SP500_Gold,Corr_BTC_Gold,RF_pred,XGB_pred,RF_proba,XGB_proba
2014-12-31,2082.110107421875,2085.580078125,2057.93994140625,2058.89990234375,2606070000,1.0,-0.0103108584159301,1.0025351409976755,1.0115833650376738,1.0517105629266472,1,0.9091712712598118,57.383001399190896,38.7388272731527,12.018200207545306,9.937939884905417,2.080260322639891,-0.0048886047197381,0.0008617745425745,0.0033095745703839,0.0017463617463617,-0.0084890228871635,-0.0111758503889515,0.0436752499244152,-0.0037018926731116,0.0104541837538554,0.0100133121051211,0.0089671519374687,0.0681499216564602,0.537199470462417,0.0115522896449155,1.1658310048448333,0.7149892397832812,101100736500.0,-0.0606183031109766,-0.1710628412658539,-0.1188717980279263,,,,
2015-01-02,2058.89990234375,2072.360107421875,2046.0400390625,2058.199951171875,2708700000,1.0,-0.0003399636723855,1.0025880420016942,1.0100789764145992,1.0508231442946596,1,0.9071638401939232,55.35922797779544,27.389966293781452,10.543870286536276,10.059125965231589,0.4847443213046887,-0.0103108584159301,-0.0048886047197381,0.0008617745425745,-0.0001392965384107,0.0203524157328469,-0.0113743025407566,0.0225098918439179,-0.007776065691389,0.0088568555269248,0.0099710872567742,0.0087213203957298,0.0675605193844011,0.5383070175492406,0.0114496777295887,1.0155406664409816,0.7524774919305978,100906018500.0,-0.0441452000373817,-0.1645260202230479,-0.1228830093929791,,,,
2015-01-05,2054.43994140625,2054.43994140625,2017.3399658203125,2020.5799560546875,3799120000,1.0,-0.0182781051451137,0.9854949280437564,0.9907077480880312,1.0312249805885307,1,0.799271247208449,54.18596733296897,11.004366812227076,6.267585179115031,9.300817808008276,-3.033232628893245,-0.0003399636723855,-0.0103108584159301,-0.0048886047197381,0.0033095745703839,0.0240152047397161,-0.03264603706437,-0.0197212464398651,-0.0247789334318727,0.0072720239477493,0.0107492243133356,0.0088026332435883,0.0684541917919021,0.2881054238382004,0.0119407072196215,0.8261191562247696,1.049698721944448,100691761500.0,-0.1397820866027953,-0.1945241833428982,-0.0832288484027275,,,,
2015-01-06,2022.1500244140625,2030.25,1992.43994140625,2002.6099853515625,4460110000,1.0,-0.0088934717229465,0.9784666091650216,0.9813985016990971,1.021698999884941,1,0.7477341130596099,52.90691698178407,8.991372374674611,1.4122919456544878,7.723112635537518,-6.31082068988303,-0.0182781051451137,-0.0003399636723855,-0.0103108584159301,0.0008617745425745,0.0045700489340145,-0.0420746878275363,-0.0328592085582277,-0.035058870335157,0.0071731601397375,0.0108598653644337,0.0084477682464144,0.0705753886936455,0.194888101453457,0.0120970804814416,0.8491189543205189,1.2148675969980436,100083518000.0,-0.1241266263460051,-0.1660537450129955,-0.083575181778538,,,,
2015-01-07,2005.550048828125,2029.6099853515625,2005.550048828125,2025.9000244140625,3805480000,1.0,0.0116298426717429,0.990678815945811,0.9922156804068488,1.0331372305631976,1,0.8145289836426226,61.57362399986818,22.193763787553703,-0.5499123655545191,6.068507635319111,-6.618420000873631,-0.0088934717229465,-0.0182781051451137,-0.0003399636723855,-0.0048886047197381,0.0038104639078866,-0.02617351440199,-0.0253254754102207,-0.016701386296766,0.008363321132787,0.0111704259250373,0.0084120750647869,0.0709007695347227,0.3685319762344174,0.0113469963398016,0.994204291851368,1.0364927439679237,99855598000.0,-0.1109200612800712,-0.185737328820438,-0.0931557914900697,,,,
2015-01-08,2030.6099853515625,2064.080078125,2030.6099853515625,2062.139892578125,3934010000,1.0,0.0178882806295161,1.0083431629041455,1.0089713551652275,1.0510915868189543,1,0.9184634295002744,60.908051228948665,40.36199821558336,0.8099445360794562,5.01679501547118,-4.206850479391724,0.0116298426717429,-0.0088934717229465,-0.0182781051451137,-0.0103108584159301,0.0017463617463617,0.0015736511671533,-0.0096197861118066,0.0011262266323086,0.0105518712939476,0.0119266812046989,0.0083685577702041,0.0710018234641366,0.6175063188110902,0.0109456467093187,1.2608948379990923,1.0720278824641865,100022886000.0,-0.1123771023560475,-0.1704635830614963,-0.100583888466714,,,,
2015-01-09,2063.449951171875,2064.429931640625,2038.3299560546875,2044.81005859375,3364140000,1.0,-0.0084038110347154,0.9994130424311176,0.9999074127746116,1.0417479990526328,1,0.8687621810349928,45.7841422670202,38.50579795054331,0.4836924512999303,4.11017450263693,-3.626482051337,0.0178882806295161,0.0116298426717429,-0.0088934717229465,-0.0003399636723855,-0.0001392965384107,-0.0065056325409497,-0.0178059380489665,0.0092145872498121,0.0108048875144599,0.0114726569115284,0.0084681026375092,0.0704345455078157,0.491666623747614,0.0102615320724489,1.2759514116656945,0.92620537281381,100227689000.0,-0.127319875323122,-0.1792947936604573,-0.0974943606039236,,,,
2015-01-12,2046.1300048828125,2049.300048828125,2022.5799560546875,2028.260009765625,3456460000,1.0,-0.0080936851609125,0.9914954124579148,0.9913688702576008,1.032844897538829,1,0.821297324207119,39.5007014488547,39.7662149159287,-1.0976621364691257,3.068607174815719,-4.166269311284845,-0.0084038110347154,0.0178882806295161,0.0116298426717429,-0.0182781051451137,0.0033095745703839,0.0038009155183016,-0.0289692063749573,-0.0034736118672205,0.0108141893895386,0.0115870520567426,0.0084679758557755,0.0707296790664724,0.3797592799185119,0.0106939093089138,1.277068991896437,0.95770677485983,100063771500.0,-0.1408867910094588,-0.1865085919389102,-0.0858165751820751,,,,
2015-01-13,2031.5799560546875,2056.929931640625,2008.25,2023.030029296875,4107300000,1.0,-0.0025785552362955,0.9884386846433292,0.9885383202446492,1.029747965042651,1,0.8062979561242927,36.067461309567584,38.59820333214611,-2.7413126100182126,1.9066232178489328,-4.647935827867145,-0.0080936851609125,-0.0084038110347154,0.0178882806295161,-0.0088934717229465,0.0008617745425745,0.0101967153338287,-0.0323069961082446,0.0103379930863019,0.0107362674799691,0.0109746611827901,0.0084824167716037,0.0686939668832027,0.3316982424915425,0.0121056162078419,1.2657085555982812,1.1388341818280627,99902371500.0,-0.090492807323824,-0.1878141720978902,-0.0845816600365766,,,,
2015-01-14,2018.4000244140625,2018.4000244140625,1988.43994140625,2011.27001953125,4378680000,1.0,-0.0058130673273852,0.9821735899144416,0.982857004735606,1.0234001110400204,1,0.7725707335875706,32.90250981731262,46.37378102994946,-4.935953359942232,0.5381079022906998,-5.474061262232932,-0.0025785552362955,-0.0080936851609125,-0.0084038110347154,0.0116298426717429,-0.0048886047197381,-0.0072214841337215,-0.0332059869167336,0.0108764014391278,0.0107561274680463,0.010957729479768,0.008396823892924,0.0656297332014217,0.2283790560164548,0.0131139775387485,1.280975712389363,1.2137990681699582,99740137000.0,-0.0164577323960145,-0.1863092193090802,-0.0694452524491796,,,,
