Date,Open,High,Low,Close,Volume,Regime,Return,Volatility_60,Volume_ratio,HMM09_RAW_2_label,HMM09_RAW_2_pred,HMM09_RAW_3_label,HMM09_RAW_3_pred,HMM09_ENG_2_label,HMM09_ENG_2_pred,HMM09_ENG_3_label,HMM09_ENG_3_pred
2000-03-29,1507.72998046875,1521.449951171875,1497.449951171875,1508.52001953125,1061900000,1.0,0.0005239924076154,0.0156902972336461,0.9729419698158016,Bull,1.0,Neutral,,Bear,0.0,Neutral,
2000-03-30,1508.52001953125,1517.3800048828125,1474.6300048828125,1487.9200439453125,1193400000,1.0,-0.0136557522069469,0.0149549396288383,1.0913141126465875,Bull,1.0,Neutral,,Bear,0.0,Neutral,
2000-03-31,1487.9200439453125,1519.81005859375,1484.3800048828125,1498.5799560546875,1227400000,1.0,0.0071643043944145,0.0149749326395672,1.1198108163835057,Bull,1.0,Neutral,,Bear,0.0,Neutral,
2000-04-03,1498.5799560546875,1507.18994140625,1486.9599609375,1505.969970703125,1021700000,1.0,0.004931344916619,0.0149825393204748,0.935352040984477,Bull,1.0,Neutral,,Bear,0.0,Neutral,
2000-04-04,1505.97998046875,1526.449951171875,1416.4100341796875,1494.72998046875,1515460000,1.0,-0.0074636217541091,0.0146338853545604,1.377303761524488,Bull,1.0,Neutral,,Bear,0.0,Neutral,
2000-04-05,1494.72998046875,1506.550048828125,1478.050048828125,1487.3699951171875,1110300000,1.0,-0.0049239564655378,0.0145860771142277,1.0084091312840973,Bull,1.0,Neutral,,Bear,0.0,Neutral,
2000-04-06,1487.3699951171875,1511.760009765625,1487.3699951171875,1501.3399658203125,1008000000,1.0,0.0093923978223215,0.0145216557680591,0.917318314551362,Bull,1.0,Neutral,,Bear,0.0,Neutral,
2000-04-07,1501.3399658203125,1518.6800537109375,1501.3399658203125,1516.3499755859375,891600000,1.0,0.0099977420886305,0.0145530211681902,0.8149184551427423,Bull,1.0,Neutral,,Bear,0.0,Neutral,
2000-04-10,1516.3499755859375,1527.18994140625,1503.3499755859375,1504.4599609375,853700000,1.0,-0.0078412073992635,0.014523259162351,0.7837465453458473,Bull,1.0,Neutral,,Bear,0.0,Neutral,
2000-04-11,1504.4599609375,1512.800048828125,1486.780029296875,1500.5899658203125,971400000,1.0,-0.0025723483626483,0.0144700234160204,0.8921689716967338,Bull,1.0,Neutral,,Bear,0.0,Neutral,
2000-04-12,1500.5899658203125,1509.0799560546875,1466.1500244140625,1467.1700439453125,1175900000,1.0,-0.0222711884233682,0.0147374423069233,1.076136546252365,Bear,0.0,Neutral,,Bear,0.0,Neutral,
2000-04-13,1467.1700439453125,1477.52001953125,1439.3399658203125,1440.510009765625,1032000000,1.0,-0.0181710595099099,0.0149278165035326,0.9445591380055816,Bear,0.0,Neutral,,Bear,0.0,Neutral,
2000-04-14,1440.510009765625,1440.510009765625,1339.4000244140625,1356.56005859375,1279700000,0.0,-0.0582779367048854,0.016694113418781,1.1684226941889848,Bear,0.0,Bear,0.0,Bear,0.0,Bear,0.0
2000-04-17,1356.56005859375,1401.530029296875,1346.5,1401.43994140625,1204700000,0.0,0.0330835944403551,0.0172585794155518,1.096747974289103,Bear,0.0,Bear,0.0,Bear,0.0,Bear,0.0
2000-04-18,1401.43994140625,1441.6099853515625,1397.81005859375,1441.6099853515625,1109400000,0.0,0.0286634073701399,0.0172788421955365,1.0064819834825909,Bear,0.0,Bear,0.0,Bear,0.0,Bear,0.0
2000-04-19,1441.6099853515625,1447.68994140625,1424.260009765625,1427.469970703125,1001400000,0.0,-0.0098084882819323,0.0173155012651137,0.9092649137060926,Bear,0.0,Bear,0.0,Bear,0.0,Bear,0.0
2000-04-20,1427.469970703125,1435.489990234375,1422.0799560546875,1434.5400390625,896200000,0.0,0.0049528666132938,0.0173149711346602,0.8160305476965394,Bear,0.0,Bear,0.0,Bear,0.0,Bear,0.0
2000-04-24,1434.5400390625,1434.5400390625,1407.1300048828125,1429.8599853515625,868700000,0.0,-0.0032624071712881,0.0173122501227464,0.7937383936204156,Bear,0.0,Bear,0.0,Bear,0.0,Neutral,
2000-04-25,1429.8599853515625,1477.6700439453125,1429.8599853515625,1477.43994140625,1071100000,0.0,0.0332759546683789,0.0174240672488577,0.9778616718759644,Bear,0.0,Bear,0.0,Bear,0.0,Bear,0.0
2000-04-26,1477.43994140625,1482.93994140625,1456.97998046875,1460.989990234375,999600000,0.0,-0.011134091282396,0.0172171929302522,0.9113825443437388,Bear,0.0,Bear,0.0,Bear,0.0,Bear,0.0
2000-04-27,1460.989990234375,1469.2099609375,1434.81005859375,1464.9200439453125,1111000000,0.0,0.0026899935914734,0.0171717956344779,1.0126022035536413,Bear,0.0,Bear,0.0,Bear,0.0,Neutral,
2000-04-28,1464.9200439453125,1473.6199951171875,1448.1500244140625,1452.4300537109375,984600000,0.0,-0.0085260559345867,0.0172135987111103,0.8979568608610099,Bear,0.0,Neutral,,Bear,0.0,Neutral,
2000-05-01,1452.4300537109375,1481.510009765625,1452.4300537109375,1468.25,966300000,0.0,0.0108920538022763,0.0172099440871042,0.8823697000290014,Bear,0.0,Neutral,,Bear,0.0,Neutral,
2000-05-02,1468.25,1468.25,1445.219970703125,1446.2900390625,1011500000,0.0,-0.0149565543589307,0.0173271076500636,0.9241635839895216,Bear,0.0,Neutral,,Bear,0.0,Neutral,
2000-05-03,1446.2900390625,1446.2900390625,1398.3599853515625,1415.0999755859375,991600000,0.0,-0.0215655661272342,0.0175577283302326,0.905789820223192,Bear,0.0,Neutral,,Bear,0.0,Neutral,
2000-05-04,1415.0999755859375,1420.989990234375,1404.93994140625,1409.5699462890625,925800000,0.0,-0.0039078718057253,0.0174908566144607,0.846734320049842,Bear,0.0,Neutral,,Bear,0.0,Neutral,
2000-05-05,1409.5699462890625,1436.030029296875,1405.0799560546875,1432.6300048828125,805500000,0.0,0.0163596412185571,0.0174073504353704,0.7422682464371124,Bear,0.0,Neutral,,Bear,0.0,Neutral,
2000-05-08,1432.6300048828125,1432.6300048828125,1417.050048828125,1424.1700439453125,787600000,0.0,-0.0059051959743032,0.017420841957858,0.7295056700633695,Bear,0.0,Neutral,,Bear,0.0,Neutral,
2000-05-09,1424.1700439453125,1430.280029296875,1401.8499755859375,1412.1400146484375,896600000,0.0,-0.0084470455954464,0.0172365323655104,0.8324689249359261,Bear,0.0,Neutral,,Bear,0.0,Neutral,
2000-05-10,1412.1400146484375,1412.1400146484375,1375.1400146484375,1383.050048828125,1006400000,0.0,-0.0205999160979477,0.0174475399438121,0.9378618092681325,Bear,0.0,Neutral,,Bear,0.0,Neutral,
2000-05-11,1383.050048828125,1410.260009765625,1383.050048828125,1407.81005859375,953600000,0.0,0.0179024683789312,0.0175646647558068,0.8939978767550427,Bear,0.0,Neutral,,Bear,0.0,Neutral,
