Date,Open,High,Low,Close,Volume,Regime,Return
2014-01-02,1204.300048828125,1227.300048828125,1204.300048828125,1225.0,209,1.0,
2014-01-03,1221.699951171875,1239.0,1221.699951171875,1238.4000244140625,142,1.0,0.010938795440051052
2014-01-06,1232.800048828125,1247.0,1221.9000244140625,1237.800048828125,127,1.0,-0.0004844764002821522
2014-01-07,1239.300048828125,1242.4000244140625,1226.300048828125,1229.4000244140625,73,1.0,-0.0067862530963826995
2014-01-08,1227.5,1227.5,1218.5999755859375,1225.300048828125,189,1.0,-0.003334940218413962
2014-01-09,1225.800048828125,1229.300048828125,1225.800048828125,1229.300048828125,7,1.0,0.0032645065213419144
2014-01-10,1235.0,1246.800048828125,1234.0,1246.699951171875,58,1.0,0.014154316808444811
2014-01-13,1250.5999755859375,1252.699951171875,1245.5,1250.9000244140625,46,1.0,0.0033689527606377556
2014-01-14,1251.0,1251.300048828125,1242.0,1245.199951171875,37,1.0,-0.0045567776248605085
2014-01-15,1243.0999755859375,1243.199951171875,1238.0999755859375,1238.0999755859375,68,1.0,-0.0057018758949159976
2014-01-16,1239.300048828125,1242.800048828125,1239.0,1240.0,48,1.0,0.0015346292315072674
2014-01-17,1239.699951171875,1254.300048828125,1239.699951171875,1251.699951171875,101,1.0,0.009435444493447687
2014-01-21,1256.4000244140625,1257.5,1240.0,1242.300048828125,224,1.0,-0.007509708964156703
2014-01-22,1241.699951171875,1242.0,1239.0,1239.0,58,1.0,-0.002656402397502866
2014-01-23,1235.199951171875,1264.199951171875,1235.199951171875,1262.5999755859375,40,1.0,0.01904759934296818
2014-01-24,1258.300048828125,1269.4000244140625,1258.300048828125,1264.5,38,1.0,0.0015048506659289806
2014-01-27,1259.800048828125,1264.4000244140625,1254.4000244140625,1263.5999755859375,92,1.0,-0.0007117630795274721
2014-01-28,1257.9000244140625,1258.4000244140625,1251.0,1251.0,20,1.0,-0.009971490843132425
2014-01-29,1262.199951171875,1262.199951171875,1262.199951171875,1262.199951171875,137028,1.0,0.008952798698541153
2014-01-30,1267.0,1267.699951171875,1237.5,1242.199951171875,45276,1.0,-0.015845350002930414
2014-01-31,1243.5999755859375,1254.5,1238.4000244140625,1240.0999755859375,5820,1.0,-0.0016905294384824687
2014-02-03,1242.4000244140625,1266.300048828125,1241.199951171875,1260.4000244140625,2914,1.0,0.016369687305681557
