Date,Open,High,Low,Close,Volume,Regime,Return,Volatility_60,Volume_ratio
2000-03-29,1507.72998046875,1521.449951171875,1497.449951171875,1508.52001953125,1061900000,1.0,0.0005239924076154,0.01569029723364619,0.9729419698158016
2000-03-30,1508.52001953125,1517.3800048828125,1474.6300048828125,1487.9200439453125,1193400000,1.0,-0.0136557522069469,0.01495493962883834,1.0913141126465875
2000-03-31,1487.9200439453125,1519.81005859375,1484.3800048828125,1498.5799560546875,1227400000,1.0,0.0071643043944145,0.01497493263956723,1.1198108163835057
2000-04-03,1498.5799560546875,1507.18994140625,1486.9599609375,1505.969970703125,1021700000,1.0,0.004931344916619,0.014982539320474898,0.935352040984477
2000-04-04,1505.97998046875,1526.449951171875,1416.4100341796875,1494.72998046875,1515460000,1.0,-0.0074636217541091,0.01463388535456043,1.3773037615244879
2000-04-05,1494.72998046875,1506.550048828125,1478.050048828125,1487.3699951171875,1110300000,1.0,-0.0049239564655378,0.01458607711422773,1.0084091312840973
2000-04-06,1487.3699951171875,1511.760009765625,1487.3699951171875,1501.3399658203125,1008000000,1.0,0.0093923978223215,0.0145216557680591,0.9173183145513621
2000-04-07,1501.3399658203125,1518.6800537109375,1501.3399658203125,1516.3499755859375,891600000,1.0,0.0099977420886305,0.014553021168190235,0.8149184551427423
2000-04-10,1516.3499755859375,1527.18994140625,1503.3499755859375,1504.4599609375,853700000,1.0,-0.0078412073992635,0.014523259162351053,0.7837465453458473
2000-04-11,1504.4599609375,1512.800048828125,1486.780029296875,1500.5899658203125,971400000,1.0,-0.0025723483626483,0.01447002341602042,0.8921689716967338
2000-04-12,1500.5899658203125,1509.0799560546875,1466.1500244140625,1467.1700439453125,1175900000,1.0,-0.0222711884233682,0.014737442306923337,1.0761365462523653
2000-04-13,1467.1700439453125,1477.52001953125,1439.3399658203125,1440.510009765625,1032000000,1.0,-0.0181710595099099,0.014927816503532672,0.9445591380055817
2000-04-14,1440.510009765625,1440.510009765625,1339.4000244140625,1356.56005859375,1279700000,0.0,-0.0582779367048854,0.016694113418781048,1.1684226941889848
2000-04-17,1356.56005859375,1401.530029296875,1346.5,1401.43994140625,1204700000,0.0,0.0330835944403551,0.01725857941555183,1.096747974289103
